Year,Month,Rainfall,Temperature
1952,1,0.0,22.002258064516123
1952,2,0.016551724137931035,24.064137931034484
1952,3,0.0,25.797741935483867
1952,4,0.13933333333333334,29.878
1952,5,0.034193548387096775,31.059677419354838
1952,6,3.7523333333333335,28.26566666666666
1952,7,7.1738709677419354,26.131612903225804
1952,8,2.134193548387097,24.986129032258066
1952,9,0.4573333333333333,25.763666666666666
1952,10,1.0477419354838708,26.470000000000002
1952,11,0.0,22.704000000000004
1952,12,0.004193548387096774,23.27064516129032
1953,1,0.0,21.70064516129033
1953,2,0.0,24.717500000000005
1953,3,0.0,27.605806451612906
1953,4,0.1753333333333333,29.643000000000004
1953,5,0.11483870967741934,30.289032258064505
1953,6,3.022666666666667,28.333000000000002
1953,7,1.7329032258064514,26.018709677419352
1953,8,4.54,25.110967741935486
1953,9,2.2573333333333334,25.667333333333325
1953,10,4.369354838709678,26.229999999999993
1953,11,0.0,23.767333333333333
1953,12,0.0,21.917741935483864
1954,1,0.037096774193548385,21.031935483870967
1954,2,0.009285714285714286,24.384285714285717
1954,3,0.3893548387096774,26.857096774193543
1954,4,0.033,29.53533333333333
1954,5,0.2064516129032258,30.62838709677419
1954,6,3.4266666666666667,27.671
1954,7,5.263548387096773,25.746129032258064
1954,8,2.0609677419354844,25.423548387096766
1954,9,7.261333333333332,24.39699999999999
1954,10,0.037741935483870975,24.80709677419355
1954,11,0.0,22.905333333333335
1954,12,0.5564516129032258,21.83354838709678
1955,1,0.0016129032258064516,22.172258064516125
1955,2,0.0,24.29107142857143
1955,3,0.07580645161290321,27.34258064516129
1955,4,0.1716666666666667,28.761333333333337
1955,5,0.1474193548387097,30.635483870967747
1955,6,1.4613333333333332,28.110666666666667
1955,7,1.9025806451612899,26.113870967741942
1955,8,3.3603225806451613,24.805806451612902
1955,9,4.3180000000000005,25.53833333333333
1955,10,6.460000000000001,25.402258064516122
1955,11,0.06466666666666666,22.235999999999997
1955,12,0.0,21.58322580645161
1956,1,0.09580645161290323,21.77387096774193
1956,2,0.0,23.050689655172413
1956,3,0.0,27.43387096774193
1956,4,0.01633333333333333,30.127666666666666
1956,5,1.3841935483870969,29.48580645161291
1956,6,1.307,27.503000000000004
1956,7,5.212580645161291,24.762903225806447
1956,8,7.576451612903225,24.72612903225806
1956,9,3.7023333333333337,24.987
1956,10,6.161290322580645,25.332258064516136
1956,11,3.760666666666667,23.482666666666663
1956,12,0.0064516129032258064,21.609999999999996
1957,1,0.0025806451612903226,21.85870967741935
1957,2,0.0,22.173214285714288
1957,3,0.02258064516129032,25.10225806451612
1957,4,0.40133333333333343,29.270666666666664
1957,5,0.1993548387096774,30.55516129032258
1957,6,5.423666666666667,29.128666666666664
1957,7,1.8474193548387097,26.06709677419356
1957,8,2.5780645161290323,25.36193548387097
1957,9,2.8453333333333335,25.833333333333325
1957,10,0.5390322580645162,26.53516129032258
1957,11,1.0279999999999998,24.54199999999999
1957,12,0.0,23.188064516129035
1958,1,0.10419354838709677,22.40677419354839
1958,2,0.0,23.302500000000006
1958,3,0.02064516129032258,26.751290322580644
1958,4,0.491,29.860666666666663
1958,5,0.19580645161290325,31.01290322580645
1958,6,2.1383333333333336,29.623666666666665
1958,7,8.422903225806449,25.787419354838708
1958,8,4.2783870967741935,25.512903225806447
1958,9,2.299666666666667,25.379999999999995
1958,10,0.812258064516129,25.896451612903224
1958,11,0.6616666666666667,24.602666666666668
1958,12,0.0,22.588064516129037
1959,1,0.0867741935483871,22.217419354838714
1959,2,0.0,23.657857142857136
1959,3,0.0,27.35612903225806
1959,4,0.264,29.981333333333335
1959,5,0.5638709677419353,31.405806451612897
1959,6,3.049333333333333,28.672
1959,7,4.412258064516128,25.568064516129024
1959,8,3.0370967741935484,25.065806451612907
1959,9,3.288,25.372333333333327
1959,10,2.814838709677419,25.276451612903223
1959,11,1.1683333333333332,24.060000000000006
1959,12,0.0006451612903225806,22.93612903225806
1960,1,0.013870967741935485,21.95354838709678
1960,2,0.0,24.688275862068963
1960,3,0.005161290322580645,26.04516129032259
1960,4,0.019666666666666666,30.028333333333332
1960,5,1.5183870967741935,30.873548387096772
1960,6,2.479999999999999,28.079666666666665
1960,7,4.921612903225808,26.482258064516124
1960,8,1.337096774193548,25.04225806451613
1960,9,8.300333333333334,25.94466666666666
1960,10,1.4803225806451612,25.773225806451617
1960,11,0.0,23.885666666666665
1960,12,0.0,23.13032258064516
1961,1,0.0,22.36322580645161
1961,2,0.0,22.216428571428576
1961,3,0.0,27.5458064516129
1961,4,0.022666666666666665,29.946666666666665
1961,5,1.2096774193548387,30.23032258064517
1961,6,3.485666666666666,27.716000000000005
1961,7,8.699354838709677,25.331935483870964
1961,8,1.4083870967741938,25.56451612903226
1961,9,1.576,25.181
1961,10,3.1748387096774193,25.050322580645158
1961,11,0.338,24.124333333333333
1961,12,0.11741935483870967,21.812903225806448
1962,1,0.04870967741935485,20.451290322580643
1962,2,0.0,23.558214285714286
1962,3,0.12322580645161288,26.216451612903228
1962,4,0.8343333333333334,29.24833333333333
1962,5,1.2635483870967739,30.573870967741932
1962,6,1.3993333333333333,28.556333333333335
1962,7,6.445483870967744,26.031935483870964
1962,8,6.5522580645161295,25.557741935483868
1962,9,9.745666666666667,25.318
1962,10,1.2570967741935481,25.84677419354839
1962,11,0.6739999999999999,24.027
1962,12,1.1512903225806448,21.820322580645165
1963,1,0.0,22.05838709677419
1963,2,0.0,23.87107142857143
1963,3,0.6732258064516129,26.619999999999997
1963,4,0.2063333333333333,28.52566666666666
1963,5,0.6258064516129033,30.487419354838718
1963,6,3.628333333333333,28.02666666666666
1963,7,4.788387096774193,26.16645161290323
1963,8,4.322903225806451,24.94129032258065
1963,9,1.5163333333333333,25.636666666666663
1963,10,1.738387096774194,26.36774193548387
1963,11,0.7186666666666668,24.594666666666665
1963,12,0.015161290322580644,22.56096774193548
1964,1,0.0,20.770967741935486
1964,2,0.0,23.07620689655172
1964,3,0.04709677419354839,27.263870967741934
1964,4,0.13233333333333333,30.55766666666667
1964,5,0.12580645161290321,30.61645161290323
1964,6,3.8356666666666666,28.375666666666667
1964,7,3.10258064516129,25.867419354838706
1964,8,3.6519354838709677,24.885161290322586
1964,9,4.699333333333334,25.41133333333333
1964,10,3.1429032258064518,25.908064516129027
1964,11,0.26366666666666666,23.41166666666667
1964,12,0.0,21.41645161290323
1965,1,0.11451612903225808,22.445483870967742
1965,2,0.0,23.187142857142856
